customerID;gender;Country;State;City;ZipCode;LatLong;SeniorCitizen;Partner;Dependents;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Churn;ChurnReason
0002-ORFBO;Female;United States;California;Frazier Park;93225;34.827662, -118.999073;0;Yes;Yes;Yes;No;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;No;
0003-MKNFE;Male;United States;California;Glendale;91206;34.162515, -118.203869;0;No;No;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;No;
0004-TLHLJ;Male;United States;California;Costa Mesa;92627;33.645672, -117.922613;0;No;No;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;Yes;Price too high
0011-IGKFF;Male;United States;California;Martinez;94553;38.014457, -122.115432;1;Yes;No;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;Yes;Product dissatisfaction
0013-EXCHZ;Female;United States;California;Camarillo;93010;34.227846, -119.079903;1;Yes;No;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;Yes;Network reliability
0013-MHZWF;Female;United States;California;Midpines;95345;37.581496, -119.972762;0;No;Yes;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);No;
0013-SMEOE;Female;United States;California;Lompoc;93437;34.757477, -120.550507;1;Yes;No;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);No;
0014-BMAQU;Male;United States;California;Napa;94558;38.489789, -122.27011;0;Yes;No;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Two year;Yes;Credit card (automatic);No;
0015-UOCOJ;Female;United States;California;Simi Valley;93063;34.296813, -118.685703;1;No;No;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;No;
0016-QLJIS;Female;United States;California;Sheridan;95681;38.984756, -121.345074;0;Yes;Yes;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;No;
0017-DINOC;Male;United States;California;Rancho Santa Fe;92091;32.99356, -117.207121;0;No;No;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);No;
0017-IUDMW;Female;United States;California;Sunnyvale;94086;37.378541, -122.020456;0;Yes;Yes;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);No;
0018-NYROU;Female;United States;California;Antelope;95843;38.715498, -121.363411;0;Yes;No;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;No;
0019-EFAEP;Female;United States;California;La Mesa;91942;32.782501, -117.01611;0;No;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);No;
0019-GFNTW;Female;United States;California;Los Olivos;93441;34.70434, -120.02609;0;No;No;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);No;
0020-INWCK;Female;United States;California;Woodlake;93286;36.464635, -119.094348;0;Yes;Yes;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);No;
0020-JDNXP;Female;United States;California;Point Reyes Station;94956;38.060264, -122.830646;0;Yes;Yes;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;No;
0021-IKXGC;Female;United States;California;San Marcos;92078;33.119028, -117.166036;1;No;No;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;No;
0022-TCJCI;Male;United States;California;Daly City;94015;37.680844, -122.48131;1;No;No;Yes;No;DSL;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);Yes;Limited range of services
0023-HGHWL;Male;United States;California;Morgan Hill;95037;37.161544, -121.649371;1;No;No;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;Yes;Competitor made better offer
0023-UYUPN;Female;United States;California;Ahwahnee;93601;37.375816, -119.739935;1;Yes;No;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;No;
0023-XUOPT;Female;United States;California;Carnelian Bay;96140;39.227434, -120.091806;0;Yes;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Electronic check;Yes;Don't know
0027-KWYKW;Female;United States;California;Alpaugh;93201;35.869626, -119.498771;0;Yes;Yes;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;No;
0030-FNXPP;Female;United States;California;Keeler;93530;36.560498, -117.962461;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;No;
0031-PVLZI;Female;United States;California;Korbel;95550;40.7666, -123.80458;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;Yes;Competitor had better devices
0032-PGELS;Female;United States;California;Palomar Mountain;92060;33.309852, -116.823091;0;Yes;Yes;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);Yes;Attitude of service provider
0036-IHMOT;Female;United States;California;Parlier;93648;36.622237, -119.521126;0;Yes;Yes;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);No;
0040-HALCW;Male;United States;California;Modesto;95358;37.612612, -121.108568;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);No;
0042-JVWOJ;Male;United States;California;Glen Ellen;95442;38.368744, -122.522642;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);No;
0042-RLHYP;Female;United States;California;Eureka;95503;40.737431, -124.108897;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);No;
0048-LUMLS;Male;United States;California;Moss Beach;94038;37.515556, -122.502311;0;Yes;Yes;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Credit card (automatic);No;
0048-PIHNL;Female;United States;California;Los Angeles;90058;34.001617, -118.222274;0;Yes;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);No;
0052-DCKON;Male;United States;California;Los Angeles;90063;34.044271, -118.185237;0;Yes;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);No;
0052-YNYOT;Female;United States;California;Calexico;92231;32.690654, -115.431225;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;No;
0056-EPFBG;Male;United States;California;Redding;96003;40.677649, -122.29467;0;Yes;Yes;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);No;
0057-QBUQH;Female;United States;California;San Martin;95046;37.084697, -121.606417;0;No;Yes;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Electronic check;No;
0058-EVZWM;Female;United States;California;Stockton;95209;38.044523, -121.348048;0;Yes;No;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);No;
